seq,code,name_en,name_ru,always_or_optional,note
1,CUT,Cutting,Резка,,
2,POL,Polishing,Полировка кромки,,у тебя это CNC shape polishing
3,PROC,Processing,Обработка,,notch / radius / сверловка — CNC processing
4,CERPAINT,Ceramic Paint,Керамическая краска,,"силкскрин: точки 2x2, 4x4, 2x4, ромб, диаметр 5мм, цвет white и acid etch — только это"
5,TEMP,Tempering,Закалка,,"вся механика до неё. Мойка встроена: грязное стекло в печь не пойдёт. Heat Soak — отдельная машина ПОСЛЕ закалки, по запросу клиента"
6,SAND,Sandblasting,Пескоструй,,после закалки; если деталь не закаляется — после обработки кромки
7,PAINT,Painting,Покраска,,"опаци-коат; спрей/ролик/камера выбираются по размеру детали, это решение цеха, а не продажи"
8,LAM,Lamination,Ламинация,,кромку ламината обрабатывают ПОСЛЕ склейки: резка → аррис → закалка → ламинация → polish lami
9,IGU,IGU,Сборка стеклопакета,,"станция сборки; мойка встроена — стёкла моются парами прямо здесь, затем распорка и сборка. В Spil называлась PPLAM — ошибка настройки"
10,SHIPRDY,Shipping Ready,Готово к отгрузке,,
11,SHIP,Shipping,Отгрузка,,
